company_slug,company_name,domain,career_page_vendor,additional_params
406ventures,.406 Ventures,https://www.406ventures.com/,getro,https://jobs.406ventures.com/jobs
4pt0,4.0 Schools,https://www.4pt0.org/,getro,https://jobs.4pt0.org/jobs
ovalpark,Oval Park Capital,https://www.ovalpark.com/,getro,https://careers.ovalpark.com/jobs
Federato,Federato,https://www.federato.ai/,lever,https://jobs.lever.co/Federato
solidcore,[solidcore],https://solidcore.co/,lever,https://jobs.lever.co/solidcore
ChargePoint,ChargePoint,https://www.chargepoint.com/,lever,https://jobs.lever.co/ChargePoint
Volt,Volt,https://volt-technologies.com/,lever,https://jobs.lever.co/Volt
3box,3Box Labs,https://3boxlabs.com/,lever,https://jobs.lever.co/3box
palantir,Palantir Technologies,https://www.palantir.com,lever,https://jobs.lever.co/palantir
finquery,FinQuery,https://finquery.com/,lever,https://jobs.lever.co/finquery
