title,employment_type,workplace_type,location,department,url,description,requirements,company,source,first_scraped_at,last_scraped_at,ignored
"Coach - Brookfield, WI",Coaching (Part-Time) /,On-site,"Brookfield, Wisconsin",Studios – Coaching /,https://jobs.lever.co/solidcore/3457b485-9b04-4a7e-ae5d-707966857544,"[solidcore] coaches lead clients through our signature 50-minute, full-body, low-impact classes. They are responsible for educating clients on the use of our resistance-based machines and empowering them to push through our challenging workout. [solidcore] coaches are expected to be able to think quickly and provide clients of differing skill levels with support and motivation. Classes are intense but small, designed to allow our coaches to deliver each client with personalized attention and accountability in a group environment. The lights are low, the music is on point, and the community is [inspiring]. At their core, [solidcore] coaches are dedicated to and invested in helping those around them discover what they’re truly capable of.  All [solidcore] coaches must undergo [solidcore]'s comprehensive training program. Our training groups are small as well as highly selective, allowing for individualized support and tight-knit relationships. Training managers are dedicated to the success of each trainee and provide ample feedback as well as trackable goals. Please note, prior fitness teaching experience or fitness certification is not required.   Our company is expanding rapidly. Team members who have chosen a career with [solidcore] and demonstrate a passion for the brand are afforded unique opportunities to grow with us.","Participating in team meetings and events Learning new techniques and best practices from the coach and Studio Manager community Interacting and forming relationships with clients and the fitness community Embodying the [solidcore] brand and culture Creating a fitness space that is welcoming and inclusive of all backgrounds and abilities Optimism and hard work with a love for health, fitness, and the [solidcore] workout Passionate about helping others become the strongest version of themselves and achieve their goals Ability to thrive in a fast-paced, entrepreneurial environment Prior group fitness experience is a plus but not required Outgoing and personable with a desire to build relationships within and outside the [solidcore] community Team player with a positive attitude Genuine desire to inspire and motivate others Reliable and professional Comfortable on a mic leading a fast-paced class with loud music and a lot of energy in the room A minimum of fifteen hours of weekday availability per week (Mon-Fri) Ability to coach a minimum of six classes, ~nine hours per week One full weekend day per week Ability to coach a minimum of three holidays per year: One summer (Memorial Day, Fourth of July, Labor Day); One winter (Thanksgiving, Christmas, New Years Day); One pre/post (Black Friday, Christmas Eve, New Years Eve) We offer a competitive compensation plan that begins with a starting pay of $20 per class. After three months of scheduled coaching, you will have the chance to earn a percentage of the total class revenue based on performance. Flexible work schedule Comprehensive paid training program Free drop-in classes Growth potential",solidcore,lever,2025-07-31 16:49:55,2025-07-31 17:27:48.139570,checked
"Coach - Ballantyne, NC",Coaching (Part-Time) /,On-site,"Charlotte, North Carolina",Studios – Coaching /,https://jobs.lever.co/solidcore/b3ea1670-02ea-444d-bbc9-29d54ce8c7af,"[solidcore] coaches lead clients through our signature 50-minute, full-body, low-impact classes. They are responsible for educating clients on the use of our resistance-based machines and empowering them to push through our challenging workout. [solidcore] coaches are expected to be able to think quickly and provide clients of differing skill levels with support and motivation. Classes are intense but small, designed to allow our coaches to deliver each client with personalized attention and accountability in a group environment. The lights are low, the music is on point, and the community is [inspiring]. At their core, [solidcore] coaches are dedicated to and invested in helping those around them discover what they’re truly capable of.  All [solidcore] coaches must undergo [solidcore]'s comprehensive training program. Our training groups are small as well as highly selective, allowing for individualized support and tight-knit relationships. Training managers are dedicated to the success of each trainee and provide ample feedback as well as trackable goals. Please note, prior fitness teaching experience or fitness certification is not required.   Our company is expanding rapidly. Team members who have chosen a career with [solidcore] and demonstrate a passion for the brand are afforded unique opportunities to grow with us.","Participating in team meetings and events Learning new techniques and best practices from the coach and Studio Manager community Interacting and forming relationships with clients and the fitness community Embodying the [solidcore] brand and culture Creating a fitness space that is welcoming and inclusive of all backgrounds and abilities Optimism and hard work with a love for health, fitness, and the [solidcore] workout Passionate about helping others become the strongest version of themselves and achieve their goals Ability to thrive in a fast-paced, entrepreneurial environment Prior group fitness experience is a plus but not required Outgoing and personable with a desire to build relationships within and outside the [solidcore] community Team player with a positive attitude Genuine desire to inspire and motivate others Reliable and professional Comfortable on a mic leading a fast-paced class with loud music and a lot of energy in the room A minimum of fifteen hours of weekday availability per week (Mon-Fri) Ability to coach a minimum of six classes, ~nine hours per week One full weekend day per week Ability to coach a minimum of three holidays per year: One summer (Memorial Day, Fourth of July, Labor Day); One winter (Thanksgiving, Christmas, New Years Day); One pre/post (Black Friday, Christmas Eve, New Years Eve) We offer a competitive compensation plan that begins with a starting pay of $20 per class. After three months of scheduled coaching, you will have the chance to earn a percentage of the total class revenue based on performance. Flexible work schedule. Comprehensive paid training program Free drop-in classes Growth potential",solidcore,lever,2025-07-31 16:49:55,2025-07-31 17:27:48.139570,checked
"Coach - Birmingham, MI",Coaching (Part-Time) /,On-site,"Birmingham, Michigan",Studios – Coaching /,https://jobs.lever.co/solidcore/df19c75b-2c91-4a4c-b759-ba9be24bd9c6,"[solidcore] coaches lead clients through our signature 50-minute, full-body, low-impact classes. They are responsible for educating clients on the use of our resistance-based machines and empowering them to push through our challenging workout. [solidcore] coaches are expected to be able to think quickly and provide clients of differing skill levels with support and motivation. Classes are intense but small, designed to allow our coaches to deliver each client with personalized attention and accountability in a group environment. The lights are low, the music is on point, and the community is [inspiring]. At their core, [solidcore] coaches are dedicated to and invested in helping those around them discover what they’re truly capable of.  All [solidcore] coaches must undergo [solidcore]'s comprehensive training program. Our training groups are small as well as highly selective, allowing for individualized support and tight-knit relationships. Training managers are dedicated to the success of each trainee and provide ample feedback as well as trackable goals. Please note, prior fitness teaching experience or fitness certification is not required.   Our company is expanding rapidly. Team members who have chosen a career with [solidcore] and demonstrate a passion for the brand are afforded unique opportunities to grow with us.","Participating in team meetings and events Learning new techniques and best practices from the coach and Studio Manager community Interacting and forming relationships with clients and the fitness community Embodying the [solidcore] brand and culture Creating a fitness space that is welcoming and inclusive of all backgrounds and abilities Optimism and hard work with a love for health, fitness, and the [solidcore] workout Passionate about helping others become the strongest version of themselves and achieve their goals Ability to thrive in a fast-paced, entrepreneurial environment Prior group fitness experience is a plus but not required Outgoing and personable with a desire to build relationships within and outside the [solidcore] community Team player with a positive attitude Genuine desire to inspire and motivate others Reliable and professional Comfortable on a mic leading a fast-paced class with loud music and a lot of energy in the room A minimum of fifteen hours of weekday availability per week (Mon-Fri) Ability to coach a minimum of six classes, ~nine hours per week One full weekend day per week Ability to coach a minimum of three holidays per year: One summer (Memorial Day, Fourth of July, Labor Day); One winter (Thanksgiving, Christmas, New Years Day); One pre/post (Black Friday, Christmas Eve, New Years Eve) We offer a competitive compensation plan that begins with a starting pay of $20 per class. After three months of scheduled coaching, you will have the chance to earn a percentage of the total class revenue based on performance. Flexible work schedule. Comprehensive paid training program Free drop-in classes Growth potential",solidcore,lever,2025-07-31 16:49:55,2025-07-31 17:27:48.139570,checked
"Coach - Boca Raton, FL",Coaching (Part-Time) /,On-site,"Boca Raton, Florida",Studios – Coaching /,https://jobs.lever.co/solidcore/a62f2159-1c61-4ff9-a1e6-cff561ece21b,"[solidcore] coaches lead clients through our signature 50-minute, full-body, low-impact classes. They are responsible for educating clients on the use of our resistance-based machines and empowering them to push through our challenging workout. [solidcore] coaches are expected to be able to think quickly and provide clients of differing skill levels with support and motivation. Classes are intense but small, designed to allow our coaches to deliver each client with personalized attention and accountability in a group environment. The lights are low, the music is on point, and the community is [inspiring]. At their core, [solidcore] coaches are dedicated to and invested in helping those around them discover what they’re truly capable of.  All [solidcore] coaches must undergo [solidcore]'s comprehensive training program. Our training groups are small as well as highly selective, allowing for individualized support and tight-knit relationships. Training managers are dedicated to the success of each trainee and provide ample feedback as well as trackable goals. Please note, prior fitness teaching experience or fitness certification is not required.   Our company is expanding rapidly. Team members who have chosen a career with [solidcore] and demonstrate a passion for the brand are afforded unique opportunities to grow with us.","Participating in team meetings and events Learning new techniques and best practices from the coach and Studio Manager community Interacting and forming relationships with clients and the fitness community Embodying the [solidcore] brand and culture Creating a fitness space that is welcoming and inclusive of all backgrounds and abilities Optimism and hard work with a love for health, fitness, and the [solidcore] workout Passionate about helping others become the strongest version of themselves and achieve their goals Ability to thrive in a fast-paced, entrepreneurial environment Prior group fitness experience is a plus but not required Outgoing and personable with a desire to build relationships within and outside the [solidcore] community Team player with a positive attitude Genuine desire to inspire and motivate others Reliable and professional Comfortable on a mic leading a fast-paced class with loud music and a lot of energy in the room A minimum of fifteen hours of weekday availability per week (Mon-Fri) Ability to coach a minimum of six classes, ~nine hours per week One full weekend day per week Ability to coach a minimum of three holidays per year: One summer (Memorial Day, Fourth of July, Labor Day); One winter (Thanksgiving, Christmas, New Years Day); One pre/post (Black Friday, Christmas Eve, New Years Eve) We offer a competitive compensation plan that begins with a starting pay of $25 per class.  After three months of scheduled coaching, you will have the chance to earn a percentage of the total class revenue based on performance. flexible work schedule comprehensive paid training program potential to earn commission free drop-in classes growth potential",solidcore,lever,2025-07-31 16:49:55,2025-07-31 17:27:48.139570,checked
"Coach - Bismarck, ND",Coaching (Part-Time) /,On-site,North Dakota,Studios – Coaching /,https://jobs.lever.co/solidcore/b21ced75-7df6-4722-9937-2f36f297564b,"[solidcore] coaches lead clients through our signature 50-minute, full-body, low-impact classes. They are responsible for educating clients on the use of our resistance-based machines and empowering them to push through our challenging workout. [solidcore] coaches are expected to be able to think quickly and provide clients of differing skill levels with support and motivation. Classes are intense but small, designed to allow our coaches to deliver each client with personalized attention and accountability in a group environment. The lights are low, the music is on point, and the community is [inspiring]. At their core, [solidcore] coaches are dedicated to and invested in helping those around them discover what they’re truly capable of.  All [solidcore] coaches must undergo [solidcore]'s comprehensive training program. Our training groups are small as well as highly selective, allowing for individualized support and tight-knit relationships. Training managers are dedicated to the success of each trainee and provide ample feedback as well as trackable goals. Please note, prior fitness teaching experience or fitness certification is not required.   Our company is expanding rapidly. Team members who have chosen a career with [solidcore] and demonstrate a passion for the brand are afforded unique opportunities to grow with us.","Participating in team meetings and events Learning new techniques and best practices from the coach and Studio Manager community Interacting and forming relationships with clients and the fitness community Embodying the [solidcore] brand and culture Creating a fitness space that is welcoming and inclusive of all backgrounds and abilities Optimism and hard work with a love for health, fitness, and the [solidcore] workout Passionate about helping others become the strongest version of themselves and achieve their goals Ability to thrive in a fast-paced, entrepreneurial environment Prior group fitness experience is a plus but not required Outgoing and personable with a desire to build relationships within and outside the [solidcore] community Team player with a positive attitude Genuine desire to inspire and motivate others Reliable and professional Comfortable on a mic leading a fast-paced class with loud music and a lot of energy in the room A minimum of fifteen hours of weekday availability per week (Mon-Fri) Ability to coach a minimum of six classes, ~nine hours per week One full weekend day per week Ability to coach a minimum of three holidays per year: One summer (Memorial Day, Fourth of July, Labor Day); One winter (Thanksgiving, Christmas, New Years Day); One pre/post (Black Friday, Christmas Eve, New Years Eve) We offer a competitive compensation plan that begins with a starting pay of $20 per class. After three months of scheduled coaching, you will have the chance to earn a percentage of the total class revenue based on performance. Flexible work schedule. Comprehensive paid training program Free drop-in classes Growth potential",solidcore,lever,2025-07-31 16:49:55,2025-07-31 17:27:48.139570,checked
"Coach - Brickell, FL",Coaching (Part-Time) /,On-site,"Miami, Florida",Studios – Coaching /,https://jobs.lever.co/solidcore/ede8c6e5-225d-443a-9eaf-868a6ba1f7d7,"[solidcore] coaches lead clients through our signature 50-minute, full-body, low-impact classes. They are responsible for educating clients on the use of our resistance-based machines and empowering them to push through our challenging workout. [solidcore] coaches are expected to be able to think quickly and provide clients of differing skill levels with support and motivation. Classes are intense but small, designed to allow our coaches to deliver each client with personalized attention and accountability in a group environment. The lights are low, the music is on point, and the community is [inspiring]. At their core, [solidcore] coaches are dedicated to and invested in helping those around them discover what they’re truly capable of.  All [solidcore] coaches must undergo [solidcore]'s comprehensive training program. Our training groups are small as well as highly selective, allowing for individualized support and tight-knit relationships. Training managers are dedicated to the success of each trainee and provide ample feedback as well as trackable goals. Please note, prior fitness teaching experience or fitness certification is not required.   Our company is expanding rapidly. Team members who have chosen a career with [solidcore] and demonstrate a passion for the brand are afforded unique opportunities to grow with us.","Participating in team meetings and events Learning new techniques and best practices from the coach and Studio Manager community Interacting and forming relationships with clients and the fitness community Embodying the [solidcore] brand and culture Creating a fitness space that is welcoming and inclusive of all backgrounds and abilities Optimism and hard work with a love for health, fitness, and the [solidcore] workout Passionate about helping others become the strongest version of themselves and achieve their goals Ability to thrive in a fast-paced, entrepreneurial environment Prior group fitness experience is a plus but not required Outgoing and personable with a desire to build relationships within and outside the [solidcore] community Team player with a positive attitude Genuine desire to inspire and motivate others Reliable and professional Comfortable on a mic leading a fast-paced class with loud music and a lot of energy in the room A minimum of fifteen hours of weekday availability per week (Mon-Fri) Ability to coach a minimum of six classes, ~nine hours per week One full weekend day per week Ability to coach a minimum of three holidays per year: One summer (Memorial Day, Fourth of July, Labor Day); One winter (Thanksgiving, Christmas, New Years Day); One pre/post (Black Friday, Christmas Eve, New Years Eve) We offer a competitive compensation plan that begins with a starting pay of $25 per class.  After three months of scheduled coaching, you will have the chance to earn a percentage of the total class revenue based on performance. flexible work schedule comprehensive paid training program potential to earn commission free drop-in classes growth potential",solidcore,lever,2025-07-31 16:49:55,2025-07-31 17:27:48.139570,checked
"Coach - Broad Ripple, IN",Coaching (Part-Time) /,On-site,"Broad Ripple, Indiana",Studios – Coaching /,https://jobs.lever.co/solidcore/22346d75-0128-49ef-baf7-aff368aaa77e,"[solidcore] coaches lead clients through our signature 50-minute, full-body, low-impact classes. They are responsible for educating clients on the use of our resistance-based machines and empowering them to push through our challenging workout. [solidcore] coaches are expected to be able to think quickly and provide clients of differing skill levels with support and motivation. Classes are intense but small, designed to allow our coaches to deliver each client with personalized attention and accountability in a group environment. The lights are low, the music is on point, and the community is [inspiring]. At their core, [solidcore] coaches are dedicated to and invested in helping those around them discover what they’re truly capable of.  All [solidcore] coaches must undergo [solidcore]'s comprehensive training program. Our training groups are small as well as highly selective, allowing for individualized support and tight-knit relationships. Training managers are dedicated to the success of each trainee and provide ample feedback as well as trackable goals. Please note, prior fitness teaching experience or fitness certification is not required.   Our company is expanding rapidly. Team members who have chosen a career with [solidcore] and demonstrate a passion for the brand are afforded unique opportunities to grow with us.","Participating in team meetings and events Learning new techniques and best practices from the coach and Studio Manager community Interacting and forming relationships with clients and the fitness community Embodying the [solidcore] brand and culture Creating a fitness space that is welcoming and inclusive of all backgrounds and abilities Optimism and hard work with a love for health, fitness, and the [solidcore] workout Passionate about helping others become the strongest version of themselves and achieve their goals Ability to thrive in a fast-paced, entrepreneurial environment Prior group fitness experience is a plus but not required Outgoing and personable with a desire to build relationships within and outside the [solidcore] community Team player with a positive attitude Genuine desire to inspire and motivate others Reliable and professional Comfortable on a mic leading a fast-paced class with loud music and a lot of energy in the room A minimum of fifteen hours of weekday availability per week (Mon-Fri) Ability to coach a minimum of six classes, ~nine hours per week One full weekend day per week Ability to coach a minimum of three holidays per year: One summer (Memorial Day, Fourth of July, Labor Day); One winter (Thanksgiving, Christmas, New Years Day); One pre/post (Black Friday, Christmas Eve, New Years Eve) We offer a competitive compensation plan that begins with a starting pay of $20 per class. After three months of scheduled coaching, you will have the chance to earn a percentage of the total class revenue based on performance. Flexible work schedule. Comprehensive paid training program Free drop-in classes Growth potential",solidcore,lever,2025-07-31 16:49:55,2025-07-31 17:27:48.139570,checked
"Coach - Ballston, VA",Coaching (Part-Time) /,On-site,"Arlington, Virginia",Studios – Coaching /,https://jobs.lever.co/solidcore/ea9ba016-e63a-42f8-82ef-289574a3d5b8,"[solidcore] coaches lead clients through our signature 50-minute, full-body, low-impact classes. They are responsible for educating clients on the use of our resistance-based machines and empowering them to push through our challenging workout. [solidcore] coaches are expected to be able to think quickly and provide clients of differing skill levels with support and motivation. Classes are intense but small, designed to allow our coaches to deliver each client with personalized attention and accountability in a group environment. The lights are low, the music is on point, and the community is [inspiring]. At their core, [solidcore] coaches are dedicated to and invested in helping those around them discover what they’re truly capable of.  All [solidcore] coaches must undergo [solidcore]'s comprehensive training program. Our training groups are small as well as highly selective, allowing for individualized support and tight-knit relationships. Training managers are dedicated to the success of each trainee and provide ample feedback as well as trackable goals. Please note, prior fitness teaching experience or fitness certification is not required.   Our company is expanding rapidly. Team members who have chosen a career with [solidcore] and demonstrate a passion for the brand are afforded unique opportunities to grow with us.","Participating in team meetings and events Learning new techniques and best practices from the coach and Studio Manager community Interacting and forming relationships with clients and the fitness community Embodying the [solidcore] brand and culture Creating a fitness space that is welcoming and inclusive of all backgrounds and abilities Optimism and hard work with a love for health, fitness, and the [solidcore] workout Passionate about helping others become the strongest version of themselves and achieve their goals Ability to thrive in a fast-paced, entrepreneurial environment Prior group fitness experience is a plus but not required Outgoing and personable with a desire to build relationships within and outside the [solidcore] community Team player with a positive attitude Genuine desire to inspire and motivate others Reliable and professional Comfortable on a mic leading a fast-paced class with loud music and a lot of energy in the room A minimum of fifteen hours of weekday availability per week (Mon-Fri) Ability to coach a minimum of six classes, ~nine hours per week One full weekend day per week Ability to coach a minimum of three holidays per year: One summer (Memorial Day, Fourth of July, Labor Day); One winter (Thanksgiving, Christmas, New Years Day); One pre/post (Black Friday, Christmas Eve, New Years Eve) We offer compensation plan that begins with a starting pay of $28 per class. After three months of scheduled coaching, you will have the chance to earn a percentage of the total class revenue based on performance.  Flexible work schedule  Comprehensive paid training program Potential to earn commission Free drop-in classes Growth potential",solidcore,lever,2025-07-31 16:49:55,2025-07-31 17:27:48.139570,checked
"Coach - Baltimore, MD",Coaching (Part-Time) /,On-site,"Baltimore, Maryland",Studios – Coaching /,https://jobs.lever.co/solidcore/02d42c49-93ed-4841-a764-759b1f0304aa,"[solidcore] coaches lead clients through our signature 50-minute, full-body, low-impact classes. They are responsible for educating clients on the use of our resistance-based machines and empowering them to push through our challenging workout. [solidcore] coaches are expected to be able to think quickly and provide clients of differing skill levels with support and motivation. Classes are intense but small, designed to allow our coaches to deliver each client with personalized attention and accountability in a group environment. The lights are low, the music is on point, and the community is [inspiring]. At their core, [solidcore] coaches are dedicated to and invested in helping those around them discover what they’re truly capable of.  All [solidcore] coaches must undergo [solidcore]'s comprehensive training program. Our training groups are small as well as highly selective, allowing for individualized support and tight-knit relationships. Training managers are dedicated to the success of each trainee and provide ample feedback as well as trackable goals. Please note, prior fitness teaching experience or fitness certification is not required.   Our company is expanding rapidly. Team members who have chosen a career with [solidcore] and demonstrate a passion for the brand are afforded unique opportunities to grow with us.","Participating in team meetings and events Learning new techniques and best practices from the coach and Studio Manager community Interacting and forming relationships with clients and the fitness community Embodying the [solidcore] brand and culture Creating a fitness space that is welcoming and inclusive of all backgrounds and abilities Optimism and hard work with a love for health, fitness, and the [solidcore] workout Passionate about helping others become the strongest version of themselves and achieve their goals Ability to thrive in a fast-paced, entrepreneurial environment Prior group fitness experience is a plus but not required Outgoing and personable with a desire to build relationships within and outside the [solidcore] community Team player with a positive attitude Genuine desire to inspire and motivate others Reliable and professional Comfortable on a mic leading a fast-paced class with loud music and a lot of energy in the room A minimum of fifteen hours of weekday availability per week (Mon-Fri) Ability to coach a minimum of six classes, ~nine hours per week One full weekend day per week Ability to coach a minimum of three holidays per year: One summer (Memorial Day, Fourth of July, Labor Day); One winter (Thanksgiving, Christmas, New Years Day); One pre/post (Black Friday, Christmas Eve, New Years Eve) We offer a competitive compensation plan that begins with a starting pay of $25 per class.  After three months of scheduled coaching, you will have the chance to earn a percentage of the total class revenue based on performance. flexible work schedule comprehensive paid training program potential to earn commission free drop-in classes growth potential",solidcore,lever,2025-07-31 16:49:55,2025-07-31 17:27:48.139570,checked
"Coach - Aventura, FL",Coaching (Part-Time) /,On-site,"Aventura, Florida",Studios – Coaching /,https://jobs.lever.co/solidcore/6b9a4c0f-e5bd-40d6-bbb5-3b8ffed0502e,"[solidcore] coaches lead clients through our signature 50-minute, full-body, low-impact classes. They are responsible for educating clients on the use of our resistance-based machines and empowering them to push through our challenging workout. [solidcore] coaches are expected to be able to think quickly and provide clients of differing skill levels with support and motivation. Classes are intense but small, designed to allow our coaches to deliver each client with personalized attention and accountability in a group environment. The lights are low, the music is on point, and the community is [inspiring]. At their core, [solidcore] coaches are dedicated to and invested in helping those around them discover what they’re truly capable of.  All [solidcore] coaches must undergo [solidcore]'s comprehensive training program. Our training groups are small as well as highly selective, allowing for individualized support and tight-knit relationships. Training managers are dedicated to the success of each trainee and provide ample feedback as well as trackable goals. Please note, prior fitness teaching experience or fitness certification is not required.   Our company is expanding rapidly. Team members who have chosen a career with [solidcore] and demonstrate a passion for the brand are afforded unique opportunities to grow with us.","Participating in team meetings and events Learning new techniques and best practices from the coach and Studio Manager community Interacting and forming relationships with clients and the fitness community Embodying the [solidcore] brand and culture Creating a fitness space that is welcoming and inclusive of all backgrounds and abilities Optimism and hard work with a love for health, fitness, and the [solidcore] workout Passionate about helping others become the strongest version of themselves and achieve their goals Ability to thrive in a fast-paced, entrepreneurial environment Prior group fitness experience is a plus but not required Outgoing and personable with a desire to build relationships within and outside the [solidcore] community Team player with a positive attitude Genuine desire to inspire and motivate others Reliable and professional Comfortable on a mic leading a fast-paced class with loud music and a lot of energy in the room A minimum of fifteen hours of weekday availability per week (Mon-Fri) Ability to coach a minimum of six classes, ~nine hours per week One full weekend day per week Ability to coach a minimum of three holidays per year: One summer (Memorial Day, Fourth of July, Labor Day); One winter (Thanksgiving, Christmas, New Years Day); One pre/post (Black Friday, Christmas Eve, New Years Eve) We offer a competitive compensation plan that begins with a starting pay of $25 per class.  After three months of scheduled coaching, you will have the chance to earn a percentage of the total class revenue based on performance. flexible work schedule comprehensive paid training program potential to earn commission free drop-in classes growth potential",solidcore,lever,2025-07-31 16:49:55,2025-07-31 17:27:48.139570,checked
