title,employment_type,workplace_type,location,department,url,description,requirements,company,source,scraped_at
"Area Manager - Chicago, IL",Field Leadership (Full Time) /,Hybrid,"Chicago, Illinois",Field Leadership – Field Management (AM) /,https://jobs.lever.co/solidcore/7b97ffb0-7aa7-44f2-98a6-fb366d266cb6,"[solidcore] is looking for an Area Manager who is committed to the growth and development of their team and is passionate about sharing the [solidcore] brand and workout. At its core, the Area Manager is a people leader who is dedicated to cultivating strong relationships within the community. The Area Manager is a multi-faceted role responsible for all aspects of performance and growth across multiple studios. They are accountable for ensuring that all areas of the business are fulfilled and are driven by exceeding goals and continued growth. An Area Manager is a representation of the [solidcore] culture, a strategic thinker, an entrepreneurial leader, and thrives in a fast-paced, start-up environment.","Creating and monitoring class schedules. Ensuring adequate coverage and looking ahead to optimize and maximize the schedule.  Owning operational and financial responsibility for multiple studios across a defined territory. Delivering  revenue and sales targets, profitability, attracting, retaining and developing top talent within their area. Working closely with the Director of Studios to manage the day-to-day operations of [solidcore] studios within the area and implementing company-wide strategies, policies, and procedures.  Daily, Weekly, Monthly Reporting. Running, analyzing, and reporting on key performance indicators, including sales, utilization, retention, expenses, and payroll.  Developing local initiatives and marketing strategies to drive unique traffic and exceed studio-specific goals.  Fostering relationships with the local health, fitness, and wellness communities as well as key influencers and potential corporate partners.  Serving as a [solidcore] studio coach, maintaining a schedule with a minimum of 4 classes per week.  Ensuring positive and prompt client communications. Leading and developing a team of Head Coach-Community Managers. Flexible and open availability with weekends and holidays required. It is required to be able to work on-site and travel to studios at least 75% of the week, with the remaining 25% of the week remote. Occasional variations as needed, based on business needs.  The position is full-time and exempt with an expected 40 hours worked per week (including classes coached). Multi-unit management experience (3-5 years preferred). Prior people management experience in high-end fitness, retail, or hospitality (3-5 years preferred). Prior group fitness instruction, personal training, or professional athletic training experience (2 years preferred). Bachelor’s degree (preferred). Proficiency in g-Suite and MS office, specifically excel and google sheets. Ability to lift / carry a minimum of 30 pounds. Proven track record of achieving revenue and sales targets and contributing to profitability.  Strong business and financial acumen and experience analyzing and interpreting data. Ability to work independently with the confidence to make decisions and course correct as needed. Ability to multi-task and coordinate ongoing projects, plans, and people. Proven track record in successfully leading a team and building a talent pipeline. Positive entrepreneurial and resourceful problem-solving attitude.  Strong attention to detail and organizational skills. Superior client relations and communication skills. Passion for fitness, wellness, and the [solidcore] brand.   Ability to model the [solidcore] brand and culture and serve as a lead representative of the [solidcore] community. Compensation Range: $78,000.00- $83,000.00 per year Bonus eligibility based on performance Monthly cell phone stipend 401k with employer match Health, dental, & vision insurance Flexible PTO Free drop in classes at [solidcore] And MORE",solidcore,lever,2025-06-25 10:36:33.545909
"Coach - Plaza Midwood, NC",Coaching (Part-Time) /,On-site,"Charlotte, North Carolina",Studios – Coaching /,https://jobs.lever.co/solidcore/959e7c39-5f5e-4b62-bc52-84992453d3c3,"[solidcore] coaches lead clients through our signature 50-minute, full-body, low-impact classes. They are responsible for educating clients on the use of our resistance-based machines and empowering them to push through our challenging workout. [solidcore] coaches are expected to be able to think quickly and provide clients of differing skill levels with support and motivation. Classes are intense but small, designed to allow our coaches to deliver each client with personalized attention and accountability in a group environment. The lights are low, the music is on point, and the community is [inspiring]. At their core, [solidcore] coaches are dedicated to and invested in helping those around them discover what they’re truly capable of.  All [solidcore] coaches must undergo [solidcore]'s comprehensive training program. Our training groups are small as well as highly selective, allowing for individualized support and tight-knit relationships. Training managers are dedicated to the success of each trainee and provide ample feedback as well as trackable goals. Please note, prior fitness teaching experience or fitness certification is not required.   Our company is expanding rapidly. Team members who have chosen a career with [solidcore] and demonstrate a passion for the brand are afforded unique opportunities to grow with us.","Participating in team meetings and events Learning new techniques and best practices from the coach and Studio Manager community Interacting and forming relationships with clients and the fitness community Embodying the [solidcore] brand and culture Creating a fitness space that is welcoming and inclusive of all backgrounds and abilities Optimism and hard work with a love for health, fitness, and the [solidcore] workout Passionate about helping others become the strongest version of themselves and achieve their goals Ability to thrive in a fast-paced, entrepreneurial environment Prior group fitness experience is a plus but not required Outgoing and personable with a desire to build relationships within and outside the [solidcore] community Team player with a positive attitude Genuine desire to inspire and motivate others Reliable and professional Comfortable on a mic leading a fast-paced class with loud music and a lot of energy in the room A minimum of fifteen hours of weekday availability per week (Mon-Fri) Ability to coach a minimum of six classes, ~nine hours per week One full weekend day per week Ability to coach a minimum of three holidays per year: One summer (Memorial Day, Fourth of July, Labor Day); One winter (Thanksgiving, Christmas, New Years Day); One pre/post (Black Friday, Christmas Eve, New Years Eve) We offer a competitive compensation plan that begins with a starting pay of $20 per class. After three months of scheduled coaching, you will have the chance to earn a percentage of the total class revenue based on performance. Flexible work schedule. Comprehensive paid training program Free drop-in classes Growth potential",solidcore,lever,2025-06-25 10:36:33.692827
"Coach - Plano, TX",,On-site,"Plano, Texas",Studios – Coaching /,https://jobs.lever.co/solidcore/bdb24659-0a9e-4596-a1bd-bb3fcccfb3f1,"[solidcore] coaches lead clients through our signature 50-minute, full-body, low-impact classes. They are responsible for educating clients on the use of our resistance-based machines and empowering them to push through our challenging workout. [solidcore] coaches are expected to be able to think quickly and provide clients of differing skill levels with support and motivation. Classes are intense but small, designed to allow our coaches to deliver each client with personalized attention and accountability in a group environment. The lights are low, the music is on point, and the community is [inspiring]. At their core, [solidcore] coaches are dedicated to and invested in helping those around them discover what they’re truly capable of.  All [solidcore] coaches must undergo [solidcore]'s comprehensive training program. Our training groups are small as well as highly selective, allowing for individualized support and tight-knit relationships. Training managers are dedicated to the success of each trainee and provide ample feedback as well as trackable goals. Please note, prior fitness teaching experience or fitness certification is not required.   Our company is expanding rapidly. Team members who have chosen a career with [solidcore] and demonstrate a passion for the brand are afforded unique opportunities to grow with us.","Participating in team meetings and events Learning new techniques and best practices from the coach and Studio Manager community Interacting and forming relationships with clients and the fitness community Embodying the [solidcore] brand and culture Creating a fitness space that is welcoming and inclusive of all backgrounds and abilities Optimism and hard work with a love for health, fitness, and the [solidcore] workout Passionate about helping others become the strongest version of themselves and achieve their goals Ability to thrive in a fast-paced, entrepreneurial environment Prior group fitness experience is a plus but not required Outgoing and personable with a desire to build relationships within and outside the [solidcore] community Team player with a positive attitude Genuine desire to inspire and motivate others Reliable and professional Comfortable on a mic leading a fast-paced class with loud music and a lot of energy in the room A minimum of fifteen hours of weekday availability per week (Mon-Fri) Ability to coach a minimum of six classes, ~nine hours per week One full weekend day per week Ability to coach a minimum of three holidays per year: One summer (Memorial Day, Fourth of July, Labor Day); One winter (Thanksgiving, Christmas, New Years Day); One pre/post (Black Friday, Christmas Eve, New Years Eve) We offer a competitive compensation plan that begins with a starting pay of $25 per class.  After three months of scheduled coaching, you will have the chance to earn a percentage of the total class revenue based on performance. Flexible work schedule Comprehensive paid training program Potential to earn commission Free drop-in classes Growth potential",solidcore,lever,2025-06-25 10:36:33.841244
"Coach - Peachtree Corners, GA",Coaching (Part-Time) /,On-site,"Peachtree Corners, Georgia",Studios – Coaching /,https://jobs.lever.co/solidcore/6cf001fb-3e82-4df6-a1d0-a7f957aaf17c,"[solidcore] coaches lead clients through our signature 50-minute, full-body, low-impact classes. They are responsible for educating clients on the use of our resistance-based machines and empowering them to push through our challenging workout. [solidcore] coaches are expected to be able to think quickly and provide clients of differing skill levels with support and motivation. Classes are intense but small, designed to allow our coaches to deliver each client with personalized attention and accountability in a group environment. The lights are low, the music is on point, and the community is [inspiring]. At their core, [solidcore] coaches are dedicated to and invested in helping those around them discover what they’re truly capable of.  All [solidcore] coaches must undergo [solidcore]'s comprehensive training program. Our training groups are small as well as highly selective, allowing for individualized support and tight-knit relationships. Training managers are dedicated to the success of each trainee and provide ample feedback as well as trackable goals. Please note, prior fitness teaching experience or fitness certification is not required.   Our company is expanding rapidly. Team members who have chosen a career with [solidcore] and demonstrate a passion for the brand are afforded unique opportunities to grow with us.","Participating in team meetings and events Learning new techniques and best practices from the coach and Studio Manager community Interacting and forming relationships with clients and the fitness community Embodying the [solidcore] brand and culture Creating a fitness space that is welcoming and inclusive of all backgrounds and abilities Optimism and hard work with a love for health, fitness, and the [solidcore] workout Passionate about helping others become the strongest version of themselves and achieve their goals Ability to thrive in a fast-paced, entrepreneurial environment Prior group fitness experience is a plus but not required Outgoing and personable with a desire to build relationships within and outside the [solidcore] community Team player with a positive attitude Genuine desire to inspire and motivate others Reliable and professional Comfortable on a mic leading a fast-paced class with loud music and a lot of energy in the room A minimum of fifteen (15) hours of weekday availability per week (Mon-Fri) Ability to coach a minimum of six (6) classes, ~nine hours per week One full weekend day per week Ability to coach a minimum of three holidays per year: One summer (Memorial Day, Fourth of July, Labor Day); One winter (Thanksgiving, Christmas, New Years Day); One pre/post (Black Friday, Christmas Eve, New Years Eve) We offer a competitive compensation plan that begins with a starting pay of $20 per class. After three months of scheduled coaching, you will have the chance to earn a percentage of the total class revenue based on performance. Flexible work schedule. Comprehensive paid training program Free drop-in classes Growth potential",solidcore,lever,2025-06-25 10:36:34.008577
"Coach - Rittenhouse, PA",Coaching (Part-Time) /,On-site,"Philadelphia, Pennsylvania",Studios – Coaching /,https://jobs.lever.co/solidcore/d21309fa-b2d3-4aaf-8bb4-c3def7d61b19,"[solidcore] coaches lead clients through our signature 50-minute, full-body, low-impact classes. They are responsible for educating clients on the use of our resistance-based machines and empowering them to push through our challenging workout. [solidcore] coaches are expected to be able to think quickly and provide clients of differing skill levels with support and motivation. Classes are intense but small, designed to allow our coaches to deliver each client with personalized attention and accountability in a group environment. The lights are low, the music is on point, and the community is [inspiring]. At their core, [solidcore] coaches are dedicated to and invested in helping those around them discover what they’re truly capable of.  All [solidcore] coaches must undergo [solidcore]'s comprehensive training program. Our training groups are small as well as highly selective, allowing for individualized support and tight-knit relationships. Training managers are dedicated to the success of each trainee and provide ample feedback as well as trackable goals. Please note, prior fitness teaching experience or fitness certification is not required.   Our company is expanding rapidly. Team members who have chosen a career with [solidcore] and demonstrate a passion for the brand are afforded unique opportunities to grow with us.","Participating in team meetings and events Learning new techniques and best practices from the coach and Studio Manager community Interacting and forming relationships with clients and the fitness community Embodying the [solidcore] brand and culture Creating a fitness space that is welcoming and inclusive of all backgrounds and abilities Optimism and hard work with a love for health, fitness, and the [solidcore] workout Passionate about helping others become the strongest version of themselves and achieve their goals Ability to thrive in a fast-paced, entrepreneurial environment Prior group fitness experience is a plus but not required Outgoing and personable with a desire to build relationships within and outside the [solidcore] community Team player with a positive attitude Genuine desire to inspire and motivate others Reliable and professional Comfortable on a mic leading a fast-paced class with loud music and a lot of energy in the room A minimum of fifteen hours of weekday availability per week (Mon-Fri) Ability to coach a minimum of six classes, ~nine hours per week One full weekend day per week Ability to coach a minimum of three holidays per year: One summer (Memorial Day, Fourth of July, Labor Day); One winter (Thanksgiving, Christmas, New Years Day); One pre/post (Black Friday, Christmas Eve, New Years Eve) We offer a competitive compensation plan that begins with a starting pay of $25 per class.  After three months of scheduled coaching, you will have the chance to earn a percentage of the total class revenue based on performance. flexible work schedule comprehensive paid training program potential to earn commission free drop-in classes growth potential",solidcore,lever,2025-06-25 10:36:34.023211
"Coach - Scottsdale, AZ",Coaching (Part-Time) /,On-site,"Scottsdale, Arizona",Studios – Coaching /,https://jobs.lever.co/solidcore/9336f273-e4b0-47bd-bbfd-51985cf7bcc4,"[solidcore] coaches lead clients through our signature 50-minute, full-body, low-impact classes. They are responsible for educating clients on the use of our resistance-based machines and empowering them to push through our challenging workout. [solidcore] coaches are expected to be able to think quickly and provide clients of differing skill levels with support and motivation. Classes are intense but small, designed to allow our coaches to deliver each client with personalized attention and accountability in a group environment. The lights are low, the music is on point, and the community is [inspiring]. At their core, [solidcore] coaches are dedicated to and invested in helping those around them discover what they’re truly capable of.  All [solidcore] coaches must undergo [solidcore]'s comprehensive training program. Our training groups are small as well as highly selective, allowing for individualized support and tight-knit relationships. Training managers are dedicated to the success of each trainee and provide ample feedback as well as trackable goals. Please note, prior fitness teaching experience or fitness certification is not required.   Our company is expanding rapidly. Team members who have chosen a career with [solidcore] and demonstrate a passion for the brand are afforded unique opportunities to grow with us.","Participating in team meetings and events Learning new techniques and best practices from the coach community Interacting and forming relationships with clients and the fitness community Embodying the [solidcore] brand and culture Creating a fitness space that is welcoming and inclusive of all backgrounds and abilities Optimism and hard work with a love for health, fitness, and the [solidcore] workout Passionate about helping others become the strongest version of themselves and achieve their goals Ability to thrive in a fast-paced, entrepreneurial environment Prior group fitness experience is a plus but not required Outgoing and personable with a desire to build relationships within and outside the [solidcore] community Team player with a positive attitude Genuine desire to inspire and motivate others Reliable and professional Comfortable on a mic leading a fast-paced class with loud music and a lot of energy in the room A minimum of fifteen hours of weekday availability per week (Mon-Fri) Ability to coach a minimum of six classes, ~nine hours per week One full weekend day per week Ability to coach a minimum of three holidays per year:  One summer (Memorial Day, Fourth of July, Labor Day);  One winter (Thanksgiving, Christmas, New Years Day);  One pre/post (Black Friday, Christmas Eve, New Years Eve) We offer a competitive compensation plan that begins with a starting pay of $25 per class. After three months of scheduled coaching, you will have the chance to earn a percentage of the total class revenue based on performance.  Flexible work schedule. Comprehensive paid training program  Potential to earn commission   Free drop-in classes Growth potential",solidcore,lever,2025-06-25 10:36:34.034539
"Coach - Reston, VA",Coaching (Part-Time) /,On-site,"Reston, Virginia",Studios – Coaching /,https://jobs.lever.co/solidcore/fdcecf14-8b49-44c0-9dc5-558c90be7c56,"[solidcore] coaches lead clients through our signature 50-minute, full-body, low-impact classes. They are responsible for educating clients on the use of our resistance-based machines and empowering them to push through our challenging workout. [solidcore] coaches are expected to be able to think quickly and provide clients of differing skill levels with support and motivation. Classes are intense but small, designed to allow our coaches to deliver each client with personalized attention and accountability in a group environment. The lights are low, the music is on point, and the community is [inspiring]. At their core, [solidcore] coaches are dedicated to and invested in helping those around them discover what they’re truly capable of.  All [solidcore] coaches must undergo [solidcore]'s comprehensive training program. Our training groups are small as well as highly selective, allowing for individualized support and tight-knit relationships. Training managers are dedicated to the success of each trainee and provide ample feedback as well as trackable goals. Please note, prior fitness teaching experience or fitness certification is not required.   Our company is expanding rapidly. Team members who have chosen a career with [solidcore] and demonstrate a passion for the brand are afforded unique opportunities to grow with us.","Participating in team meetings and events Learning new techniques and best practices from the coach and Studio Manager community Interacting and forming relationships with clients and the fitness community Embodying the [solidcore] brand and culture Creating a fitness space that is welcoming and inclusive of all backgrounds and abilities Optimism and hard work with a love for health, fitness, and the [solidcore] workout Passionate about helping others become the strongest version of themselves and achieve their goals Ability to thrive in a fast-paced, entrepreneurial environment Prior group fitness experience is a plus but not required Outgoing and personable with a desire to build relationships within and outside the [solidcore] community Team player with a positive attitude Genuine desire to inspire and motivate others Reliable and professional Comfortable on a mic leading a fast-paced class with loud music and a lot of energy in the room A minimum of fifteen hours of weekday availability per week (Mon-Fri) Ability to coach a minimum of six classes, ~nine hours per week One full weekend day per week Ability to coach a minimum of three holidays per year:  One summer (Memorial Day, Fourth of July, Labor Day);  One winter (Thanksgiving, Christmas, New Years Day);  One pre/post (Black Friday, Christmas Eve, New Years Eve) We offer compensation plan that begins with a starting pay of $28 per class. After three months of scheduled coaching, you will have the chance to earn a percentage of the total class revenue based on performance.  Flexible work schedule  Comprehensive paid training program Potential to earn commission Free drop-in classes Growth potential",solidcore,lever,2025-06-25 10:36:34.040313
"Coach - Santana Row, CA",Coaching (Part-Time) /,On-site,"San Jose, California",Studios – Coaching /,https://jobs.lever.co/solidcore/90c24579-ae9b-4c97-9c76-0b8ee28d2756,"[solidcore] coaches lead clients through our signature 50-minute, full-body, low-impact classes. They are responsible for educating clients on the use of our resistance-based machines and empowering them to push through our challenging workout. [solidcore] coaches are expected to be able to think quickly and provide clients of differing skill levels with support and motivation. Classes are intense but small, designed to allow our coaches to deliver each client with personalized attention and accountability in a group environment. The lights are low, the music is on point, and the community is [inspiring]. At their core, [solidcore] coaches are dedicated to and invested in helping those around them discover what they’re truly capable of.  All [solidcore] coaches must undergo [solidcore]'s comprehensive training program. Our training groups are small as well as highly selective, allowing for individualized support and tight-knit relationships. Training managers are dedicated to the success of each trainee and provide ample feedback as well as trackable goals. Please note, prior fitness teaching experience or fitness certification is not required.   Our company is expanding rapidly. Team members who have chosen a career with [solidcore] and demonstrate a passion for the brand are afforded unique opportunities to grow with us.","Participating in team meetings and events Learning new techniques and best practices from the coach and Studio Manager community Interacting and forming relationships with clients and the fitness community Embodying the [solidcore] brand and culture Creating a fitness space that is welcoming and inclusive of all backgrounds and abilities Optimism and hard work with a love for health, fitness, and the [solidcore] workout Passionate about helping others become the strongest version of themselves and achieve their goals Ability to thrive in a fast-paced, entrepreneurial environment Prior group fitness experience is a plus but not required Outgoing and personable with a desire to build relationships within and outside the [solidcore] community Team player with a positive attitude Genuine desire to inspire and motivate others Reliable and professional Comfortable on a mic leading a fast-paced class with loud music and a lot of energy in the room A minimum of fifteen hours of weekday availability per week (Mon-Fri) Ability to coach a minimum of six classes, ~nine hours per week One full weekend day per week Ability to coach a minimum of three holidays per year:  One summer (Memorial Day, Fourth of July, Labor Day);  One winter (Thanksgiving, Christmas, New Years Day);  One pre/post (Black Friday, Christmas Eve, New Years Eve) We offer a competitive compensation plan that begins with a starting pay of $40 per class. After three months of scheduled coaching, you will have the chance to earn a percentage of the total class revenue based on performance.  Flexible work schedule. Comprehensive paid training program  Potential to earn commission   Free drop-in classes Growth potential",solidcore,lever,2025-06-25 10:36:34.045578
"Coach - Rochester Hills, MI",Coaching (Part-Time) /,On-site,"Rochester Hills, Michigan",Studios – Coaching /,https://jobs.lever.co/solidcore/9dac5176-bd9f-477f-bbaa-4b8421545bd5,"[solidcore] coaches lead clients through our signature 50-minute, full-body, low-impact classes. They are responsible for educating clients on the use of our resistance-based machines and empowering them to push through our challenging workout. [solidcore] coaches are expected to be able to think quickly and provide clients of differing skill levels with support and motivation. Classes are intense but small, designed to allow our coaches to deliver each client with personalized attention and accountability in a group environment. The lights are low, the music is on point, and the community is [inspiring]. At their core, [solidcore] coaches are dedicated to and invested in helping those around them discover what they’re truly capable of.  All [solidcore] coaches must undergo [solidcore]'s comprehensive training program. Our training groups are small as well as highly selective, allowing for individualized support and tight-knit relationships. Training managers are dedicated to the success of each trainee and provide ample feedback as well as trackable goals. Please note, prior fitness teaching experience or fitness certification is not required.   Our company is expanding rapidly. Team members who have chosen a career with [solidcore] and demonstrate a passion for the brand are afforded unique opportunities to grow with us.","Participating in team meetings and events Learning new techniques and best practices from the coach and Studio Manager community Interacting and forming relationships with clients and the fitness community Embodying the [solidcore] brand and culture Creating a fitness space that is welcoming and inclusive of all backgrounds and abilities Optimism and hard work with a love for health, fitness, and the [solidcore] workout Passionate about helping others become the strongest version of themselves and achieve their goals Ability to thrive in a fast-paced, entrepreneurial environment Prior group fitness experience is a plus but not required Outgoing and personable with a desire to build relationships within and outside the [solidcore] community Team player with a positive attitude Genuine desire to inspire and motivate others Reliable and professional Comfortable on a mic leading a fast-paced class with loud music and a lot of energy in the room A minimum of fifteen hours of weekday availability per week (Mon-Fri) Ability to coach a minimum of six classes, ~nine hours per week One full weekend day per week Ability to coach a minimum of three holidays per year: One summer (Memorial Day, Fourth of July, Labor Day); One winter (Thanksgiving, Christmas, New Years Day); One pre/post (Black Friday, Christmas Eve, New Years Eve) We offer a competitive compensation plan that begins with a starting pay of $20 per class. After three months of scheduled coaching, you will have the chance to earn a percentage of the total class revenue based on performance. Flexible work schedule. Comprehensive paid training program Free drop-in classes Growth potential",solidcore,lever,2025-06-25 10:36:34.056448
Talent Acquisition Coordinator,Corporate (Full-Time) /,Hybrid,"Arlington, Virginia",Headquarters – Talent Acquisition/Recruiting /,https://jobs.lever.co/solidcore/18be9d03-6ed3-4dbb-b302-36fe428265ba,"[solidcore] is seeking an energetic and detail-oriented Talent Acquisition Coordinator to join our growing People & Culture team. If you thrive in a fast-paced environment, love staying organized, and enjoy supporting candidates through the hiring journey, this role is for you! Located in vibrant Arlington, VA, this role will report to the Director of Talent Acquisition. This role plays a critical part in helping us deliver a best-in-class experience to every candidate who interacts with our brand. You’ll support end-to-end recruitment operations across our nationwide network of studios, helping us scale high-performing teams that reflect the strength and spirit of [solidcore].","Schedule and coordinate candidate interviews, auditions, and follow-ups across multiple time zones and locations Manage job postings, applications, and communication through our ATS Assist with resume screening, initial candidate outreach, offer letters, background checks, and I-9 processing Maintain accurate and up-to-date candidate records Ensure all touchpoints of the candidate journey reflect [solidcore]'s high standards of care and professionalism Partner with Recruiters and regional TA Managers to align interview scheduling  Track hiring milestones and assist in reporting on recruiting metrics Support new studio openings by aligning recruitment timelines with onboarding needs Assist with employer branding efforts, virtual hiring events, and content related to recruiting Must be located in DC, Maryland, or Northern Virginia Bachelor’s degree or equivalent experience in HR or Talent Acquisition 1–2 years of experience in recruitment coordination, HR support, or high-volume staffing  Exceptional communication and organizational skills Experience with applicant tracking systems Comfortable working across teams and time zones Passion for people, process, and wellness Experience in fitness, retail, hospitality, or service industries is a plus Competitive salary of $50,000 annually Bonus eligibility based on performance Monthly cell phone stipend 401k with employer match Health, dental, & vision insurance Flexible PTO Free drop in classes at [solidcore] Opportunity to grow in a people-first, fast-growing brand And MORE",solidcore,lever,2025-06-25 10:36:34.175657
